Date,SMI
2015-02-09 00:00:00+00:00,0.00639059
2015-02-10 00:00:00+00:00,0.00963313
2015-02-11 00:00:00+00:00,-0.01379617
2015-02-12 00:00:00+00:00,0.01398202
2015-02-13 00:00:00+00:00,0.00420612
2015-02-16 00:00:00+00:00,0.00547705
2015-02-17 00:00:00+00:00,0.02330306
2015-02-18 00:00:00+00:00,0.00632375
2015-02-19 00:00:00+00:00,0.02051170
2015-02-20 00:00:00+00:00,0.00919462
2015-02-23 00:00:00+00:00,0.00812564
2015-02-24 00:00:00+00:00,0.00405183
2015-02-25 00:00:00+00:00,-0.00348170
2015-02-26 00:00:00+00:00,0.01607296
2015-02-27 00:00:00+00:00,-0.00658049
2015-03-02 00:00:00+00:00,0.01107979
2015-03-03 00:00:00+00:00,-0.00945538
2015-03-04 00:00:00+00:00,0.00637502
2015-03-05 00:00:00+00:00,0.01472089
2015-03-06 00:00:00+00:00,0.00453543
2015-03-09 00:00:00+00:00,-0.00143721
2015-03-10 00:00:00+00:00,-0.00420134
2015-03-11 00:00:00+00:00,0.01482797
2015-03-12 00:00:00+00:00,-0.01198503
2015-03-13 00:00:00+00:00,0.00211339
2015-03-16 00:00:00+00:00,0.02342783
2015-03-17 00:00:00+00:00,-0.00517595
2015-03-18 00:00:00+00:00,0.01212279
2015-03-19 00:00:00+00:00,0.01099112
2015-03-20 00:00:00+00:00,0.01222042
2015-03-23 00:00:00+00:00,-0.00140983
2015-03-24 00:00:00+00:00,-0.01814198
2015-03-25 00:00:00+00:00,-0.01896063
2015-03-26 00:00:00+00:00,-0.02523171
2015-03-27 00:00:00+00:00,0.00682416
2015-03-30 00:00:00+00:00,0.02566488
2015-03-31 00:00:00+00:00,-0.02050024
2015-04-01 00:00:00+00:00,0.00468325
2015-04-02 00:00:00+00:00,-0.00188895
2015-04-07 00:00:00+00:00,0.03322411
2015-04-08 00:00:00+00:00,-0.00153482
2015-04-09 00:00:00+00:00,0.03382786
2015-04-10 00:00:00+00:00,0.01181614
2015-04-13 00:00:00+00:00,-0.01027101
2015-04-14 00:00:00+00:00,0.00107645
2015-04-15 00:00:00+00:00,0.00354447
2015-04-16 00:00:00+00:00,-0.00751956
2015-04-17 00:00:00+00:00,-0.03051370
2015-04-20 00:00:00+00:00,0.00721390
2015-04-21 00:00:00+00:00,0.01330392
2015-04-22 00:00:00+00:00,0.01623022
2015-04-23 00:00:00+00:00,0.00085641
2015-04-24 00:00:00+00:00,-0.00484086
2015-04-27 00:00:00+00:00,-0.00497132
2015-04-28 00:00:00+00:00,-0.01437685
2015-04-29 00:00:00+00:00,-0.03101074
2015-04-30 00:00:00+00:00,-0.02133190
2015-05-04 00:00:00+00:00,0.02589153
2015-05-05 00:00:00+00:00,-0.01124610
2015-05-06 00:00:00+00:00,-0.03978311
2015-05-07 00:00:00+00:00,-0.00237830
2015-05-08 00:00:00+00:00,0.04963682
2015-05-11 00:00:00+00:00,0.00528194
2015-05-12 00:00:00+00:00,-0.00737816
2015-05-13 00:00:00+00:00,-0.00154930
2015-05-15 00:00:00+00:00,0.02301751
2015-05-18 00:00:00+00:00,0.00844151
2015-05-19 00:00:00+00:00,0.01729224
2015-05-20 00:00:00+00:00,0.00474784
2015-05-21 00:00:00+00:00,0.01192473
2015-05-22 00:00:00+00:00,0.00341790
2015-05-26 00:00:00+00:00,-0.01827072
2015-05-27 00:00:00+00:00,0.02749762
2015-05-28 00:00:00+00:00,-0.00297812
2015-05-29 00:00:00+00:00,-0.01821977
2015-06-01 00:00:00+00:00,-0.00043164
2015-06-02 00:00:00+00:00,-0.01819701
2015-06-03 00:00:00+00:00,0.00912696
2015-06-04 00:00:00+00:00,-0.01588990
2015-06-05 00:00:00+00:00,-0.01689900
2015-06-08 00:00:00+00:00,-0.01693761
2015-06-09 00:00:00+00:00,-0.01351062
2015-06-10 00:00:00+00:00,0.03427709
2015-06-11 00:00:00+00:00,0.00559370
2015-06-12 00:00:00+00:00,-0.01608629
2015-06-15 00:00:00+00:00,-0.00945312
2015-06-16 00:00:00+00:00,-0.00157216
2015-06-17 00:00:00+00:00,-0.01129523
2015-06-18 00:00:00+00:00,-0.00712809
2015-06-19 00:00:00+00:00,0.00439847
2015-06-22 00:00:00+00:00,0.01981969
2015-06-23 00:00:00+00:00,0.03404390
2015-06-24 00:00:00+00:00,-0.01609687
2015-06-25 00:00:00+00:00,-0.01832032
2015-06-26 00:00:00+00:00,0.00624039
2015-06-29 00:00:00+00:00,-0.03946324
2015-06-30 00:00:00+00:00,-0.02080642
2015-07-01 00:00:00+00:00,0.03365234
2015-07-02 00:00:00+00:00,0.01407204
2015-07-03 00:00:00+00:00,-0.01289083
2015-07-06 00:00:00+00:00,-0.01350731
2015-07-07 00:00:00+00:00,-0.00102427
2015-07-08 00:00:00+00:00,-0.00486251
2015-07-09 00:00:00+00:00,0.03189630
2015-07-10 00:00:00+00:00,0.04190321
2015-07-13 00:00:00+00:00,0.02092588
2015-07-14 00:00:00+00:00,0.01808774
2015-07-15 00:00:00+00:00,-0.00881410
2015-07-16 00:00:00+00:00,0.03637188
2015-07-17 00:00:00+00:00,-0.00233214
2015-07-20 00:00:00+00:00,0.01208980
2015-07-21 00:00:00+00:00,-0.02617897
2015-07-22 00:00:00+00:00,-0.01709060
2015-07-23 00:00:00+00:00,0.01283643
2015-07-24 00:00:00+00:00,-0.00953819
2015-07-27 00:00:00+00:00,-0.02468137
2015-07-28 00:00:00+00:00,0.02150400
2015-07-29 00:00:00+00:00,0.02657944
2015-07-30 00:00:00+00:00,0.00148811
2015-07-31 00:00:00+00:00,0.00382654
2015-08-03 00:00:00+00:00,0.00552012
2015-08-04 00:00:00+00:00,0.00656379
2015-08-05 00:00:00+00:00,0.00463951
2015-08-06 00:00:00+00:00,-0.01474502
2015-08-07 00:00:00+00:00,-0.00402831
2015-08-10 00:00:00+00:00,0.01849763
2015-08-11 00:00:00+00:00,-0.01514113
2015-08-12 00:00:00+00:00,-0.03629421
2015-08-13 00:00:00+00:00,0.01554546
2015-08-14 00:00:00+00:00,0.00375133
2015-08-17 00:00:00+00:00,0.00832584
2015-08-18 00:00:00+00:00,-0.00096209
2015-08-19 00:00:00+00:00,-0.02712764
2015-08-20 00:00:00+00:00,-0.04115967
2015-08-21 00:00:00+00:00,-0.08380515
2015-08-24 00:00:00+00:00,-0.06222089
2015-08-25 00:00:00+00:00,0.03696857
2015-08-26 00:00:00+00:00,0.02515871
2015-08-27 00:00:00+00:00,0.03571150
2015-08-28 00:00:00+00:00,-0.01819280
