Date,SHATZ
2008-10-07 00:00:00+00:00,-0.00391833
2008-10-08 00:00:00+00:00,0.00398336
2008-10-09 00:00:00+00:00,-0.00182057
2008-10-10 00:00:00+00:00,0.00161068
2008-10-13 00:00:00+00:00,-0.00561702
2008-10-14 00:00:00+00:00,-0.00153296
2008-10-15 00:00:00+00:00,0.00295152
2008-10-16 00:00:00+00:00,0.00760896
2008-10-17 00:00:00+00:00,-0.00334473
2008-10-20 00:00:00+00:00,0.00206192
2008-10-21 00:00:00+00:00,0.00091983
2008-10-22 00:00:00+00:00,0.00305666
2008-10-23 00:00:00+00:00,0.00035235
2008-10-24 00:00:00+00:00,0.00480842
2008-10-27 00:00:00+00:00,0.00328795
2008-10-28 00:00:00+00:00,0.00045040
2008-10-29 00:00:00+00:00,0.00102254
2008-10-30 00:00:00+00:00,0.00300776
2008-10-31 00:00:00+00:00,-0.00340232
2008-11-03 00:00:00+00:00,0.00008185
2008-11-04 00:00:00+00:00,-0.00048505
2008-11-05 00:00:00+00:00,0.00083817
2008-11-06 00:00:00+00:00,0.00277431
2008-11-07 00:00:00+00:00,0.00102805
2008-11-10 00:00:00+00:00,0.00084124
2008-11-11 00:00:00+00:00,0.00197053
2008-11-12 00:00:00+00:00,0.00281713
2008-11-13 00:00:00+00:00,-0.00009945
2008-11-14 00:00:00+00:00,0.00182820
2008-11-17 00:00:00+00:00,0.00088845
2008-11-18 00:00:00+00:00,-0.00047284
2008-11-19 00:00:00+00:00,-0.00018982
2008-11-20 00:00:00+00:00,0.00398639
2008-11-21 00:00:00+00:00,-0.00107772
2008-11-24 00:00:00+00:00,-0.00304559
2008-11-25 00:00:00+00:00,-0.00211487
2008-11-26 00:00:00+00:00,0.00131319
2008-11-27 00:00:00+00:00,-0.00056519
2008-11-28 00:00:00+00:00,0.00112570
2008-12-01 00:00:00+00:00,0.00333086
2008-12-02 00:00:00+00:00,0.00060771
2008-12-03 00:00:00+00:00,0.00084272
2008-12-04 00:00:00+00:00,0.00309125
2008-12-05 00:00:00+00:00,0.00224128
2008-12-08 00:00:00+00:00,-0.01063720
2008-12-09 00:00:00+00:00,-0.00206450
2008-12-10 00:00:00+00:00,0.00187736
2008-12-11 00:00:00+00:00,0.00318925
2008-12-12 00:00:00+00:00,-0.00398151
2008-12-15 00:00:00+00:00,0.00393930
2008-12-16 00:00:00+00:00,0.00154407
2008-12-17 00:00:00+00:00,0.00898235
2008-12-18 00:00:00+00:00,-0.00041980
2008-12-19 00:00:00+00:00,0.00041852
2008-12-22 00:00:00+00:00,0.00102416
2008-12-23 00:00:00+00:00,0.00120971
2008-12-29 00:00:00+00:00,0.00209290
2008-12-30 00:00:00+00:00,-0.00186175
2009-01-02 00:00:00+00:00,0.00036970
2009-01-05 00:00:00+00:00,0.00060190
2009-01-06 00:00:00+00:00,-0.00163151
2009-01-07 00:00:00+00:00,0.00292840
2009-01-08 00:00:00+00:00,0.00255291
2009-01-09 00:00:00+00:00,0.00190047
2009-01-12 00:00:00+00:00,0.00129584
2009-01-13 00:00:00+00:00,-0.00111523
2009-01-14 00:00:00+00:00,0.00087739
2009-01-15 00:00:00+00:00,-0.00194902
2009-01-16 00:00:00+00:00,0.00240815
2009-01-19 00:00:00+00:00,-0.00176374
2009-01-20 00:00:00+00:00,0.00036740
2009-01-21 00:00:00+00:00,0.00217481
2009-01-22 00:00:00+00:00,-0.00014195
2009-01-23 00:00:00+00:00,-0.00097537
2009-01-26 00:00:00+00:00,-0.00787833
2009-01-27 00:00:00+00:00,-0.00014370
2009-01-28 00:00:00+00:00,0.00222691
2009-01-29 00:00:00+00:00,0.00166552
2009-01-30 00:00:00+00:00,0.00115325
2009-02-02 00:00:00+00:00,0.00082730
2009-02-03 00:00:00+00:00,0.00036176
2009-02-04 00:00:00+00:00,0.00003766
2009-02-05 00:00:00+00:00,0.00226309
2009-02-06 00:00:00+00:00,0.00147306
2009-02-09 00:00:00+00:00,-0.00259893
2009-02-10 00:00:00+00:00,-0.00061127
2009-02-11 00:00:00+00:00,0.00374329
2009-02-12 00:00:00+00:00,0.00225745
2009-02-13 00:00:00+00:00,-0.00084014
2009-02-16 00:00:00+00:00,0.00336484
2009-02-17 00:00:00+00:00,0.00262120
2009-02-18 00:00:00+00:00,-0.00318887
2009-02-19 00:00:00+00:00,-0.00425518
2009-02-20 00:00:00+00:00,0.00184219
2009-02-23 00:00:00+00:00,0.00050034
2009-02-24 00:00:00+00:00,0.00082292
2009-02-25 00:00:00+00:00,0.00156174
2009-02-26 00:00:00+00:00,-0.00351629
2009-02-27 00:00:00+00:00,0.00161090
2009-03-02 00:00:00+00:00,0.00281107
2009-03-03 00:00:00+00:00,0.00114561
2009-03-04 00:00:00+00:00,-0.00019171
2009-03-05 00:00:00+00:00,-0.00148062
2009-03-06 00:00:00+00:00,0.00064000
2009-03-09 00:00:00+00:00,-0.00452688
2009-03-10 00:00:00+00:00,-0.00167143
2009-03-11 00:00:00+00:00,-0.00204258
2009-03-12 00:00:00+00:00,0.00231011
2009-03-13 00:00:00+00:00,0.00031778
2009-03-16 00:00:00+00:00,-0.00102420
2009-03-17 00:00:00+00:00,-0.00269068
2009-03-18 00:00:00+00:00,0.00054999
2009-03-19 00:00:00+00:00,0.00045747
2009-03-20 00:00:00+00:00,0.00295790
2009-03-23 00:00:00+00:00,-0.00088464
2009-03-24 00:00:00+00:00,-0.00287401
2009-03-25 00:00:00+00:00,-0.00065403
2009-03-26 00:00:00+00:00,-0.00028229
2009-03-27 00:00:00+00:00,0.00462922
2009-03-30 00:00:00+00:00,0.00152125
2009-03-31 00:00:00+00:00,0.00142617
2009-04-01 00:00:00+00:00,-0.00028305
2009-04-02 00:00:00+00:00,-0.00790200
2009-04-03 00:00:00+00:00,-0.00343624
2009-04-06 00:00:00+00:00,-0.00000561
2009-04-07 00:00:00+00:00,0.00110825
2009-04-08 00:00:00+00:00,0.00171105
2009-04-09 00:00:00+00:00,0.00110698
2009-04-14 00:00:00+00:00,0.00078239
2009-04-15 00:00:00+00:00,0.00217226
2009-04-16 00:00:00+00:00,-0.00148444
2009-04-17 00:00:00+00:00,-0.00361514
2009-04-20 00:00:00+00:00,0.00333514
2009-04-21 00:00:00+00:00,-0.00060638
2009-04-22 00:00:00+00:00,-0.00222741
2009-04-23 00:00:00+00:00,0.00055321
2009-04-24 00:00:00+00:00,0.00236098
2009-04-27 00:00:00+00:00,0.00055211
2009-04-28 00:00:00+00:00,0.00184782
2009-04-29 00:00:00+00:00,0.00032055
2009-04-30 00:00:00+00:00,-0.00125241
2009-05-04 00:00:00+00:00,-0.00162430
2009-05-05 00:00:00+00:00,0.00138392
2009-05-06 00:00:00+00:00,0.00105880
2009-05-07 00:00:00+00:00,-0.00157787
2009-05-08 00:00:00+00:00,0.00240127
2009-05-11 00:00:00+00:00,-0.00074462
2009-05-12 00:00:00+00:00,-0.00185527
2009-05-13 00:00:00+00:00,0.00328093
2009-05-14 00:00:00+00:00,0.00068838
2009-05-15 00:00:00+00:00,0.00004136
2009-05-18 00:00:00+00:00,0.00138065
2009-05-19 00:00:00+00:00,-0.00309788
2009-05-20 00:00:00+00:00,-0.00116103
2009-05-21 00:00:00+00:00,0.00276987
2009-05-22 00:00:00+00:00,-0.00189910
2009-05-25 00:00:00+00:00,-0.00361127
2009-05-26 00:00:00+00:00,0.00064316
2009-05-27 00:00:00+00:00,-0.00009734
2009-05-28 00:00:00+00:00,0.00082913
2009-05-29 00:00:00+00:00,0.00249513
2009-06-01 00:00:00+00:00,-0.00014167
2009-06-02 00:00:00+00:00,0.00087432
2009-06-03 00:00:00+00:00,0.00045817
2009-06-04 00:00:00+00:00,-0.00559412
2009-06-05 00:00:00+00:00,-0.00469771
2009-06-08 00:00:00+00:00,-0.00214877
2009-06-09 00:00:00+00:00,0.00102093
2009-06-10 00:00:00+00:00,-0.00028481
2009-06-11 00:00:00+00:00,-0.00196278
2009-06-12 00:00:00+00:00,0.00167455
2009-06-15 00:00:00+00:00,0.00288542
2009-06-16 00:00:00+00:00,0.00073966
2009-06-17 00:00:00+00:00,0.00232153
2009-06-18 00:00:00+00:00,-0.00167837
2009-06-19 00:00:00+00:00,0.00203936
2009-06-22 00:00:00+00:00,-0.00014487
2009-06-23 00:00:00+00:00,-0.00056284
2009-06-24 00:00:00+00:00,0.00250098
2009-06-25 00:00:00+00:00,0.00240550
2009-06-26 00:00:00+00:00,-0.00028328
2009-06-29 00:00:00+00:00,-0.00148716
2009-06-30 00:00:00+00:00,0.00008707
2009-07-01 00:00:00+00:00,0.00082908
2009-07-02 00:00:00+00:00,0.00439564
2009-07-03 00:00:00+00:00,-0.00018963
2009-07-06 00:00:00+00:00,0.00110461
2009-07-07 00:00:00+00:00,-0.00046745
2009-07-08 00:00:00+00:00,0.00059532
2009-07-09 00:00:00+00:00,-0.00139051
2009-07-10 00:00:00+00:00,0.00128877
2009-07-13 00:00:00+00:00,-0.00037480
2009-07-14 00:00:00+00:00,-0.00102155
2009-07-15 00:00:00+00:00,-0.00120692
2009-07-16 00:00:00+00:00,0.00138226
2009-07-17 00:00:00+00:00,-0.00065198
2009-07-20 00:00:00+00:00,-0.00245499
2009-07-21 00:00:00+00:00,0.00073455
2009-07-22 00:00:00+00:00,0.00008697
2009-07-23 00:00:00+00:00,-0.00139243
2009-07-24 00:00:00+00:00,-0.00139340
2009-07-27 00:00:00+00:00,-0.00139418
2009-07-28 00:00:00+00:00,0.00166153
2009-07-29 00:00:00+00:00,-0.00009845
2009-07-30 00:00:00+00:00,-0.00083849
2009-07-31 00:00:00+00:00,0.00300373
2009-08-03 00:00:00+00:00,-0.00347270
2009-08-04 00:00:00+00:00,-0.00176457
2009-08-05 00:00:00+00:00,-0.00144185
2009-08-06 00:00:00+00:00,-0.00070065
2009-08-07 00:00:00+00:00,-0.00482872
2009-08-10 00:00:00+00:00,0.00166867
2009-08-11 00:00:00+00:00,0.00259555
2009-08-12 00:00:00+00:00,0.00115438
2009-08-13 00:00:00+00:00,0.00222041
2009-08-14 00:00:00+00:00,0.00272751
2009-08-17 00:00:00+00:00,0.00008731
2009-08-18 00:00:00+00:00,-0.00019039
2009-08-19 00:00:00+00:00,0.00119781
2009-08-20 00:00:00+00:00,0.00036501
2009-08-21 00:00:00+00:00,-0.00337890
2009-08-24 00:00:00+00:00,0.00124525
2009-08-25 00:00:00+00:00,0.00147562
2009-08-26 00:00:00+00:00,0.00142858
2009-08-27 00:00:00+00:00,0.00064244
2009-08-28 00:00:00+00:00,0.00027298
2009-08-31 00:00:00+00:00,0.00055000
2009-09-01 00:00:00+00:00,0.00128869
2009-09-02 00:00:00+00:00,0.00147250
2009-09-03 00:00:00+00:00,0.00114866
2009-09-04 00:00:00+00:00,-0.00419760
2009-09-07 00:00:00+00:00,0.00152334
2009-09-08 00:00:00+00:00,-0.00018896
2009-09-09 00:00:00+00:00,-0.00597075
2009-09-10 00:00:00+00:00,0.00073588
2009-09-11 00:00:00+00:00,0.00036558
2009-09-14 00:00:00+00:00,-0.00157471
2009-09-15 00:00:00+00:00,-0.00055876
2009-09-16 00:00:00+00:00,-0.00009599
2009-09-17 00:00:00+00:00,-0.00139041
2009-09-18 00:00:00+00:00,0.00027504
2009-09-21 00:00:00+00:00,0.00101514
2009-09-22 00:00:00+00:00,-0.00060446
2009-09-23 00:00:00+00:00,0.00055196
2009-09-24 00:00:00+00:00,0.00249396
2009-09-25 00:00:00+00:00,-0.00074195
2009-09-28 00:00:00+00:00,0.00008940
2009-09-29 00:00:00+00:00,-0.00143585
2009-09-30 00:00:00+00:00,-0.00037353
2009-10-01 00:00:00+00:00,0.00133755
2009-10-02 00:00:00+00:00,0.00073610
2009-10-05 00:00:00+00:00,-0.00009527
2009-10-06 00:00:00+00:00,-0.00046415
2009-10-07 00:00:00+00:00,0.00013594
2009-10-08 00:00:00+00:00,-0.00000208
2009-10-09 00:00:00+00:00,-0.00494540
2009-10-12 00:00:00+00:00,0.00175753
2009-10-13 00:00:00+00:00,0.00166358
2009-10-14 00:00:00+00:00,-0.00166713
2009-10-15 00:00:00+00:00,-0.00185282
2009-10-16 00:00:00+00:00,-0.00083569
2009-10-19 00:00:00+00:00,-0.00065074
2009-10-20 00:00:00+00:00,0.00203644
2009-10-21 00:00:00+00:00,-0.00097444
2009-10-22 00:00:00+00:00,0.00069301
2009-10-23 00:00:00+00:00,-0.00074275
