Date,COPPER-micro
2000-09-22 00:00:00+00:00,-0.01354976
2000-09-25 00:00:00+00:00,0.01491975
2000-09-26 00:00:00+00:00,-0.02476567
2000-09-27 00:00:00+00:00,-0.00449864
2000-09-28 00:00:00+00:00,-0.00559462
2000-09-29 00:00:00+00:00,0.00255222
2000-10-02 00:00:00+00:00,-0.04633813
2000-10-03 00:00:00+00:00,0.00761803
2000-10-04 00:00:00+00:00,-0.00847865
2000-10-05 00:00:00+00:00,0.02319061
2000-10-06 00:00:00+00:00,-0.01169420
2000-10-09 00:00:00+00:00,-0.01782845
2000-10-10 00:00:00+00:00,0.01767906
2000-10-11 00:00:00+00:00,-0.00679430
2000-10-12 00:00:00+00:00,-0.04229562
2000-10-13 00:00:00+00:00,0.02194155
2000-10-16 00:00:00+00:00,0.00431339
2000-10-17 00:00:00+00:00,-0.02421929
2000-10-18 00:00:00+00:00,-0.02338638
2000-10-19 00:00:00+00:00,0.00154956
2000-10-20 00:00:00+00:00,-0.02479807
2000-10-23 00:00:00+00:00,0.01258984
2000-10-24 00:00:00+00:00,-0.00420604
2000-10-25 00:00:00+00:00,-0.02963503
2000-10-26 00:00:00+00:00,-0.04826558
2000-10-27 00:00:00+00:00,0.02929336
2000-10-30 00:00:00+00:00,0.00219765
2000-10-31 00:00:00+00:00,0.00870898
2000-11-01 00:00:00+00:00,-0.02963550
2000-11-02 00:00:00+00:00,0.00461267
2000-11-03 00:00:00+00:00,0.00042437
2000-11-06 00:00:00+00:00,-0.02581436
2000-11-07 00:00:00+00:00,0.00768186
2000-11-08 00:00:00+00:00,0.01307219
2000-11-09 00:00:00+00:00,0.01059298
2000-11-10 00:00:00+00:00,-0.00433620
2000-11-13 00:00:00+00:00,-0.04131692
2000-11-14 00:00:00+00:00,0.01627162
2000-11-15 00:00:00+00:00,-0.00198470
2000-11-16 00:00:00+00:00,-0.01710012
2000-11-17 00:00:00+00:00,0.01568220
2000-11-20 00:00:00+00:00,0.00042857
2000-11-21 00:00:00+00:00,0.00523042
2000-11-22 00:00:00+00:00,-0.01573128
2000-11-27 00:00:00+00:00,0.05109596
2000-11-28 00:00:00+00:00,0.02040689
2000-11-29 00:00:00+00:00,-0.00423998
2000-11-30 00:00:00+00:00,-0.02872235
2000-12-01 00:00:00+00:00,0.02940059
2000-12-04 00:00:00+00:00,0.00915226
2000-12-05 00:00:00+00:00,0.01491725
2000-12-06 00:00:00+00:00,0.01939820
2000-12-07 00:00:00+00:00,0.00724248
2000-12-08 00:00:00+00:00,0.02196970
2000-12-11 00:00:00+00:00,0.00151927
2000-12-12 00:00:00+00:00,-0.01418555
2000-12-13 00:00:00+00:00,-0.00468318
2000-12-14 00:00:00+00:00,0.01852289
2000-12-15 00:00:00+00:00,-0.04390990
2000-12-18 00:00:00+00:00,0.00327974
2000-12-19 00:00:00+00:00,-0.00931835
2000-12-20 00:00:00+00:00,-0.02431021
2000-12-21 00:00:00+00:00,-0.01179012
2000-12-22 00:00:00+00:00,0.00630232
2000-12-26 00:00:00+00:00,0.01385516
2000-12-27 00:00:00+00:00,-0.03378034
2000-12-28 00:00:00+00:00,0.00456192
2000-12-29 00:00:00+00:00,-0.01487364
2001-01-02 00:00:00+00:00,-0.07311130
2001-01-03 00:00:00+00:00,0.01278615
2001-01-04 00:00:00+00:00,-0.01606250
2001-01-05 00:00:00+00:00,0.03192023
2001-01-08 00:00:00+00:00,0.00835104
2001-01-09 00:00:00+00:00,-0.00798724
2001-01-10 00:00:00+00:00,0.00228139
2001-01-11 00:00:00+00:00,0.01014757
2001-01-12 00:00:00+00:00,0.02454052
2001-01-16 00:00:00+00:00,-0.04114218
2001-01-17 00:00:00+00:00,0.00957560
2001-01-18 00:00:00+00:00,0.07780111
2001-01-19 00:00:00+00:00,-0.03090148
2001-01-22 00:00:00+00:00,-0.00014174
2001-01-23 00:00:00+00:00,0.00339871
2001-01-24 00:00:00+00:00,-0.03078488
2001-01-25 00:00:00+00:00,0.00464785
2001-01-26 00:00:00+00:00,0.00702589
2001-01-29 00:00:00+00:00,-0.01621011
2001-01-30 00:00:00+00:00,0.01908179
2001-01-31 00:00:00+00:00,0.00878372
2001-02-01 00:00:00+00:00,0.00400421
2001-02-02 00:00:00+00:00,-0.01312403
2001-02-05 00:00:00+00:00,-0.03757100
2001-02-06 00:00:00+00:00,0.01319618
2001-02-07 00:00:00+00:00,-0.00435120
2001-02-08 00:00:00+00:00,0.00348371
2001-02-09 00:00:00+00:00,-0.02243933
2001-02-12 00:00:00+00:00,-0.00623430
2001-02-13 00:00:00+00:00,0.01698920
2001-02-14 00:00:00+00:00,-0.00438201
2001-02-15 00:00:00+00:00,0.01141947
2001-02-16 00:00:00+00:00,-0.00374210
2001-02-20 00:00:00+00:00,-0.00495574
2001-02-21 00:00:00+00:00,-0.04122351
2001-02-22 00:00:00+00:00,-0.00075208
2001-02-23 00:00:00+00:00,-0.01310333
2001-02-26 00:00:00+00:00,0.02847620
2001-02-27 00:00:00+00:00,-0.01055160
2001-02-28 00:00:00+00:00,0.01157526
2001-03-01 00:00:00+00:00,0.02069009
2001-03-02 00:00:00+00:00,0.01138439
2001-03-05 00:00:00+00:00,0.02398015
2001-03-06 00:00:00+00:00,0.02248981
2001-03-07 00:00:00+00:00,-0.01719588
2001-03-08 00:00:00+00:00,-0.02684883
2001-03-09 00:00:00+00:00,0.01252387
2001-03-12 00:00:00+00:00,-0.00431585
2001-03-13 00:00:00+00:00,-0.02172145
2001-03-14 00:00:00+00:00,-0.01589012
2001-03-15 00:00:00+00:00,-0.00623407
2001-03-16 00:00:00+00:00,-0.04058882
2001-03-19 00:00:00+00:00,0.01302681
2001-03-20 00:00:00+00:00,0.00671934
2001-03-21 00:00:00+00:00,-0.02119686
2001-03-22 00:00:00+00:00,-0.02267452
2001-03-23 00:00:00+00:00,0.00495158
2001-03-26 00:00:00+00:00,-0.00264657
2001-03-27 00:00:00+00:00,0.01760589
2001-03-28 00:00:00+00:00,-0.04591431
2001-03-29 00:00:00+00:00,0.00630532
2001-03-30 00:00:00+00:00,-0.03084601
2001-04-02 00:00:00+00:00,-0.00661813
2001-04-03 00:00:00+00:00,0.01228143
2001-04-04 00:00:00+00:00,-0.00011257
2001-04-05 00:00:00+00:00,0.00766678
2001-04-06 00:00:00+00:00,-0.04207290
2001-04-09 00:00:00+00:00,0.02365203
2001-04-10 00:00:00+00:00,0.02663460
2001-04-11 00:00:00+00:00,-0.01234459
2001-04-12 00:00:00+00:00,0.00507464
2001-04-16 00:00:00+00:00,0.00182694
2001-04-17 00:00:00+00:00,-0.00850425
2001-04-18 00:00:00+00:00,0.05372002
2001-04-19 00:00:00+00:00,-0.02914478
2001-04-20 00:00:00+00:00,0.00501916
2001-04-23 00:00:00+00:00,-0.03971752
2001-04-24 00:00:00+00:00,0.00511228
2001-04-25 00:00:00+00:00,0.00769359
2001-04-26 00:00:00+00:00,-0.01175431
2001-04-27 00:00:00+00:00,0.00445375
2001-04-30 00:00:00+00:00,0.01873764
2001-05-01 00:00:00+00:00,0.01726889
2001-05-02 00:00:00+00:00,0.03050718
2001-05-03 00:00:00+00:00,-0.01140312
2001-05-04 00:00:00+00:00,-0.01399857
2001-05-07 00:00:00+00:00,0.00244525
2001-05-08 00:00:00+00:00,-0.04460116
2001-05-09 00:00:00+00:00,-0.01311257
2001-05-10 00:00:00+00:00,-0.01057896
2001-05-11 00:00:00+00:00,0.01043234
2001-05-14 00:00:00+00:00,-0.02171190
2001-05-15 00:00:00+00:00,-0.00076246
2001-05-16 00:00:00+00:00,0.00387663
2001-05-17 00:00:00+00:00,0.03030588
2001-05-18 00:00:00+00:00,0.04804789
2001-05-21 00:00:00+00:00,0.03863120
2001-05-22 00:00:00+00:00,-0.02749608
2001-05-23 00:00:00+00:00,-0.00262595
2001-05-24 00:00:00+00:00,0.00685852
2001-05-25 00:00:00+00:00,-0.00324970
2001-05-29 00:00:00+00:00,-0.06129825
2001-05-30 00:00:00+00:00,-0.01052976
2001-05-31 00:00:00+00:00,-0.01386890
2001-06-01 00:00:00+00:00,-0.01396048
2001-06-04 00:00:00+00:00,0.00056524
2001-06-05 00:00:00+00:00,0.02516714
2001-06-06 00:00:00+00:00,-0.02110929
2001-06-07 00:00:00+00:00,-0.00806124
2001-06-08 00:00:00+00:00,-0.05209868
2001-06-11 00:00:00+00:00,0.00195540
2001-06-12 00:00:00+00:00,-0.00898245
2001-06-13 00:00:00+00:00,-0.01039852
2001-06-14 00:00:00+00:00,0.00680541
2001-06-15 00:00:00+00:00,-0.02004088
2001-06-18 00:00:00+00:00,0.01380264
2001-06-19 00:00:00+00:00,0.01224222
2001-06-20 00:00:00+00:00,-0.03074902
2001-06-21 00:00:00+00:00,0.01650300
2001-06-22 00:00:00+00:00,-0.01929835
2001-06-25 00:00:00+00:00,-0.00217138
2001-06-26 00:00:00+00:00,0.01515233
2001-06-27 00:00:00+00:00,0.00953326
2001-06-28 00:00:00+00:00,-0.03705828
2001-06-29 00:00:00+00:00,-0.00986019
2001-07-02 00:00:00+00:00,0.02092431
2001-07-03 00:00:00+00:00,-0.01951685
2001-07-05 00:00:00+00:00,-0.02180750
2001-07-06 00:00:00+00:00,0.01406576
2001-07-09 00:00:00+00:00,-0.00431837
2001-07-10 00:00:00+00:00,0.02315741
2001-07-11 00:00:00+00:00,-0.01263197
2001-07-12 00:00:00+00:00,-0.02252210
2001-07-13 00:00:00+00:00,0.00486289
2001-07-16 00:00:00+00:00,0.00697359
2001-07-17 00:00:00+00:00,0.02668144
2001-07-18 00:00:00+00:00,-0.03486642
2001-07-19 00:00:00+00:00,-0.02982003
2001-07-20 00:00:00+00:00,0.01139849
2001-07-23 00:00:00+00:00,-0.03438190
2001-07-24 00:00:00+00:00,-0.00736362
2001-07-25 00:00:00+00:00,0.00573870
2001-07-26 00:00:00+00:00,-0.00591492
2001-07-27 00:00:00+00:00,-0.02051923
2001-07-30 00:00:00+00:00,-0.00009674
2001-07-31 00:00:00+00:00,0.01095782
2001-08-01 00:00:00+00:00,0.01455653
2001-08-02 00:00:00+00:00,-0.01755031
2001-08-03 00:00:00+00:00,-0.01256811
2001-08-06 00:00:00+00:00,-0.01782088
2001-08-07 00:00:00+00:00,-0.00605660
2001-08-08 00:00:00+00:00,-0.02251618
2001-08-09 00:00:00+00:00,0.01502334
2001-08-10 00:00:00+00:00,-0.01359706
2001-08-13 00:00:00+00:00,-0.01519900
2001-08-14 00:00:00+00:00,0.02502117
2001-08-15 00:00:00+00:00,-0.02037835
2001-08-16 00:00:00+00:00,0.02800186
2001-08-17 00:00:00+00:00,0.05380076
2001-08-20 00:00:00+00:00,-0.00009271
2001-08-21 00:00:00+00:00,-0.01321120
2001-08-22 00:00:00+00:00,0.01458164
2001-08-23 00:00:00+00:00,0.02030101
2001-08-24 00:00:00+00:00,-0.00802363
2001-08-27 00:00:00+00:00,0.03463887
2001-08-28 00:00:00+00:00,-0.01147251
2001-08-29 00:00:00+00:00,0.01278311
2001-08-30 00:00:00+00:00,-0.03989273
2001-08-31 00:00:00+00:00,-0.00734323
2001-09-04 00:00:00+00:00,-0.02338293
2001-09-05 00:00:00+00:00,-0.00524707
2001-09-06 00:00:00+00:00,-0.03330110
2001-09-07 00:00:00+00:00,-0.02411284
2001-09-10 00:00:00+00:00,-0.00312819
2001-09-11 00:00:00+00:00,-0.00008868
2001-09-14 00:00:00+00:00,0.01818801
2001-09-17 00:00:00+00:00,-0.01968475
2001-09-18 00:00:00+00:00,0.00145483
2001-09-19 00:00:00+00:00,-0.00919402
2001-09-20 00:00:00+00:00,-0.00464750
2001-09-21 00:00:00+00:00,0.02599274
2001-09-24 00:00:00+00:00,-0.00611567
2001-09-25 00:00:00+00:00,-0.01675592
2001-09-26 00:00:00+00:00,0.01141159
2001-09-27 00:00:00+00:00,-0.00310634
2001-09-28 00:00:00+00:00,-0.01377358
2001-10-01 00:00:00+00:00,-0.00466574
2001-10-02 00:00:00+00:00,-0.00160027
2001-10-03 00:00:00+00:00,-0.02621419
2001-10-04 00:00:00+00:00,0.00929301
2001-10-05 00:00:00+00:00,-0.01324859
2001-10-08 00:00:00+00:00,0.00930761
2001-10-09 00:00:00+00:00,-0.00627608
2001-10-10 00:00:00+00:00,-0.00395774
2001-10-11 00:00:00+00:00,0.00384451
2001-10-12 00:00:00+00:00,-0.00317943
2001-10-15 00:00:00+00:00,-0.00318430
2001-10-16 00:00:00+00:00,0.01401301
2001-10-17 00:00:00+00:00,-0.01481218
2001-10-18 00:00:00+00:00,-0.02196903
2001-10-19 00:00:00+00:00,-0.02695853
2001-10-22 00:00:00+00:00,0.00475162
2001-10-23 00:00:00+00:00,0.01514007
2001-10-24 00:00:00+00:00,-0.02307511
2001-10-25 00:00:00+00:00,0.01118644
2001-10-26 00:00:00+00:00,0.02869531
2001-10-29 00:00:00+00:00,-0.01265586
2001-10-30 00:00:00+00:00,0.01975392
2001-10-31 00:00:00+00:00,-0.03927131
2001-11-01 00:00:00+00:00,-0.01445563
2001-11-02 00:00:00+00:00,-0.02100647
2001-11-05 00:00:00+00:00,0.00645945
2001-11-06 00:00:00+00:00,-0.00005090
2001-11-07 00:00:00+00:00,-0.03251656
2001-11-08 00:00:00+00:00,0.02965318
2001-11-09 00:00:00+00:00,0.08450305
2001-11-12 00:00:00+00:00,0.05299233
2001-11-13 00:00:00+00:00,0.05694053
2001-11-14 00:00:00+00:00,0.00068737
2001-11-15 00:00:00+00:00,-0.01260741
2001-11-16 00:00:00+00:00,0.02745645
2001-11-19 00:00:00+00:00,0.01460991
2001-11-20 00:00:00+00:00,-0.03039946
2001-11-21 00:00:00+00:00,0.01168541
2001-11-26 00:00:00+00:00,0.01745151
2001-11-27 00:00:00+00:00,0.06357722
2001-11-28 00:00:00+00:00,0.00415386
2001-11-29 00:00:00+00:00,0.02442643
2001-11-30 00:00:00+00:00,0.02205091
2001-12-03 00:00:00+00:00,-0.04854539
2001-12-04 00:00:00+00:00,-0.01405303
2001-12-05 00:00:00+00:00,-0.01697351
2001-12-06 00:00:00+00:00,-0.01853975
2001-12-07 00:00:00+00:00,-0.03163255
2001-12-10 00:00:00+00:00,-0.00150553
2001-12-11 00:00:00+00:00,0.01163376
2001-12-12 00:00:00+00:00,-0.02834793
2001-12-13 00:00:00+00:00,-0.00299211
2001-12-14 00:00:00+00:00,0.00290242
2001-12-17 00:00:00+00:00,0.00878882
2001-12-18 00:00:00+00:00,0.02341367
2001-12-19 00:00:00+00:00,-0.03193024
2001-12-20 00:00:00+00:00,0.00142713
2001-12-21 00:00:00+00:00,0.01761414
2001-12-26 00:00:00+00:00,0.02037590
2001-12-27 00:00:00+00:00,-0.01593177
2001-12-28 00:00:00+00:00,-0.02770321
2001-12-31 00:00:00+00:00,-0.05465942
2002-01-02 00:00:00+00:00,-0.00308164
2002-01-03 00:00:00+00:00,0.01819007
2002-01-04 00:00:00+00:00,0.03157963
2002-01-07 00:00:00+00:00,0.11414127
2002-01-08 00:00:00+00:00,-0.01822869
2002-01-09 00:00:00+00:00,0.01900871
2002-01-10 00:00:00+00:00,-0.02799824
2002-01-11 00:00:00+00:00,0.00846065
2002-01-14 00:00:00+00:00,-0.00145442
2002-01-15 00:00:00+00:00,-0.01840485
2002-01-16 00:00:00+00:00,0.01991355
2002-01-17 00:00:00+00:00,-0.00145595
2002-01-18 00:00:00+00:00,-0.02688039
2002-01-22 00:00:00+00:00,0.01140707
2002-01-23 00:00:00+00:00,0.01703581
2002-01-24 00:00:00+00:00,0.02041917
2002-01-25 00:00:00+00:00,-0.01122787
2002-01-28 00:00:00+00:00,-0.03096774
2002-01-29 00:00:00+00:00,-0.00432981
2002-01-30 00:00:00+00:00,-0.00577017
2002-01-31 00:00:00+00:00,0.10396923
2002-02-01 00:00:00+00:00,0.00881350
2002-02-04 00:00:00+00:00,-0.02177236
2002-02-05 00:00:00+00:00,0.01024728
2002-02-06 00:00:00+00:00,-0.00892101
2002-02-07 00:00:00+00:00,0.02121513
2002-02-08 00:00:00+00:00,-0.00886614
2002-02-11 00:00:00+00:00,-0.01640721
2002-02-12 00:00:00+00:00,0.01369800
2002-02-13 00:00:00+00:00,0.05114683
2002-02-14 00:00:00+00:00,-0.01801192
2002-02-15 00:00:00+00:00,-0.00004757
2002-02-19 00:00:00+00:00,-0.06989317
2002-02-20 00:00:00+00:00,0.00412766
2002-02-21 00:00:00+00:00,0.01523007
2002-02-22 00:00:00+00:00,-0.04002014
2002-02-25 00:00:00+00:00,0.01823640
2002-02-26 00:00:00+00:00,-0.01119753
2002-02-27 00:00:00+00:00,0.03358929
2002-02-28 00:00:00+00:00,-0.00004771
2002-03-01 00:00:00+00:00,0.03165380
2002-03-04 00:00:00+00:00,0.02437452
2002-03-05 00:00:00+00:00,-0.00272979
2002-03-06 00:00:00+00:00,0.02679682
2002-03-07 00:00:00+00:00,-0.00534669
2002-03-08 00:00:00+00:00,0.01190309
2002-03-11 00:00:00+00:00,-0.01655116
2002-03-12 00:00:00+00:00,-0.01203409
2002-03-13 00:00:00+00:00,-0.00272924
2002-03-14 00:00:00+00:00,0.01202236
2002-03-15 00:00:00+00:00,0.01261618
2002-03-18 00:00:00+00:00,0.03703533
2002-03-19 00:00:00+00:00,0.01685472
2002-03-20 00:00:00+00:00,-0.01230051
2002-03-21 00:00:00+00:00,-0.00783203
2002-03-22 00:00:00+00:00,-0.03585736
2002-03-25 00:00:00+00:00,-0.02856383
2002-03-26 00:00:00+00:00,0.02148508
2002-03-27 00:00:00+00:00,0.01726102
2002-03-28 00:00:00+00:00,0.03295434
2002-04-01 00:00:00+00:00,0.00254844
2002-04-02 00:00:00+00:00,-0.00458880
2002-04-03 00:00:00+00:00,-0.05462985
2002-04-04 00:00:00+00:00,-0.02676879
2002-04-05 00:00:00+00:00,-0.02509890
2002-04-08 00:00:00+00:00,0.00132389
2002-04-09 00:00:00+00:00,0.01091912
2002-04-10 00:00:00+00:00,-0.00686337
2002-04-11 00:00:00+00:00,-0.00278299
2002-04-12 00:00:00+00:00,-0.01580016
2002-04-15 00:00:00+00:00,-0.00280945
2002-04-16 00:00:00+00:00,0.02692338
2002-04-17 00:00:00+00:00,0.02723784
2002-04-18 00:00:00+00:00,-0.02561902
2002-04-19 00:00:00+00:00,0.01563096
2002-04-22 00:00:00+00:00,0.02699829
2002-04-23 00:00:00+00:00,-0.03140153
2002-04-24 00:00:00+00:00,0.01351231
2002-04-25 00:00:00+00:00,-0.01620919
2002-04-26 00:00:00+00:00,0.01624543
2002-04-29 00:00:00+00:00,-0.00610929
2002-04-30 00:00:00+00:00,-0.00409972
2002-05-01 00:00:00+00:00,-0.02643541
2002-05-02 00:00:00+00:00,0.01709837
2002-05-03 00:00:00+00:00,-0.03063956
2002-05-06 00:00:00+00:00,-0.02491056
2002-05-07 00:00:00+00:00,0.03002181
2002-05-08 00:00:00+00:00,0.01854692
2002-05-09 00:00:00+00:00,-0.00823394
2002-05-10 00:00:00+00:00,0.02323927
2002-05-13 00:00:00+00:00,-0.00275715
2002-05-14 00:00:00+00:00,0.02029030
2002-05-15 00:00:00+00:00,0.00733442
2002-05-16 00:00:00+00:00,-0.02412811
2002-05-17 00:00:00+00:00,-0.02645300
2002-05-20 00:00:00+00:00,-0.00691182
2002-05-21 00:00:00+00:00,0.00408438
2002-05-22 00:00:00+00:00,0.00132700
