Date,BUTTER
2006-08-16 00:00:00+00:00,-0.00796536
2006-08-17 00:00:00+00:00,0.00376875
2006-08-18 00:00:00+00:00,-0.00412215
2006-08-21 00:00:00+00:00,-0.00412201
2006-08-22 00:00:00+00:00,0.00369007
2006-08-23 00:00:00+00:00,0.03099077
2006-08-24 00:00:00+00:00,0.02286132
2006-08-25 00:00:00+00:00,0.01487936
2006-08-28 00:00:00+00:00,0.00727753
2006-08-29 00:00:00+00:00,-0.00943118
2006-08-30 00:00:00+00:00,0.02782637
2006-08-31 00:00:00+00:00,-0.01499914
2006-09-01 00:00:00+00:00,-0.03204428
2006-09-05 00:00:00+00:00,0.00171674
2006-09-06 00:00:00+00:00,0.00360514
2006-09-07 00:00:00+00:00,0.00357710
2006-09-08 00:00:00+00:00,-0.04352998
2006-09-11 00:00:00+00:00,0.00672719
2006-09-12 00:00:00+00:00,0.01016280
2006-09-13 00:00:00+00:00,0.04559233
2006-09-14 00:00:00+00:00,-0.01722318
2006-09-15 00:00:00+00:00,-0.00588058
2006-09-18 00:00:00+00:00,0.00547232
2006-09-19 00:00:00+00:00,0.01304807
2006-09-20 00:00:00+00:00,-0.00582735
2006-09-21 00:00:00+00:00,-0.00795830
2006-09-22 00:00:00+00:00,0.00754285
2006-09-25 00:00:00+00:00,-0.01527432
2006-09-26 00:00:00+00:00,-0.00210508
2006-09-27 00:00:00+00:00,-0.00013194
2006-09-28 00:00:00+00:00,0.00176947
2006-09-29 00:00:00+00:00,0.00733862
2006-10-02 00:00:00+00:00,0.00174030
2006-10-03 00:00:00+00:00,-0.00396736
2006-10-04 00:00:00+00:00,0.00544147
2006-10-05 00:00:00+00:00,0.00898417
2006-10-06 00:00:00+00:00,-0.00738417
2006-10-09 00:00:00+00:00,-0.01883009
2006-10-10 00:00:00+00:00,-0.02461304
2006-10-11 00:00:00+00:00,0.01322397
2006-10-12 00:00:00+00:00,0.02273055
2006-10-13 00:00:00+00:00,-0.00040254
2006-10-16 00:00:00+00:00,0.00736250
2006-10-17 00:00:00+00:00,-0.00389704
2006-10-18 00:00:00+00:00,0.00546885
2006-10-19 00:00:00+00:00,-0.00021367
2006-10-20 00:00:00+00:00,-0.00203172
2006-10-23 00:00:00+00:00,-0.02332029
2006-10-24 00:00:00+00:00,-0.02273345
2006-10-25 00:00:00+00:00,-0.02917261
2006-10-26 00:00:00+00:00,0.00174881
2006-10-27 00:00:00+00:00,-0.00405976
2006-10-30 00:00:00+00:00,-0.00611026
2006-10-31 00:00:00+00:00,-0.01789740
2006-11-01 00:00:00+00:00,0.00375286
2006-11-02 00:00:00+00:00,0.01159457
2006-11-03 00:00:00+00:00,0.00370505
2006-11-06 00:00:00+00:00,-0.00599701
2006-11-07 00:00:00+00:00,0.03103410
2006-11-08 00:00:00+00:00,0.00554376
2006-11-09 00:00:00+00:00,-0.00228901
2006-11-10 00:00:00+00:00,0.01695966
2006-11-13 00:00:00+00:00,-0.00957656
2006-11-14 00:00:00+00:00,-0.01525042
2006-11-15 00:00:00+00:00,-0.00021283
2006-11-16 00:00:00+00:00,-0.00392552
2006-11-17 00:00:00+00:00,-0.00589521
2006-11-20 00:00:00+00:00,-0.01732325
2006-11-21 00:00:00+00:00,0.00362564
2006-11-22 00:00:00+00:00,0.00177538
2006-11-24 00:00:00+00:00,-0.00021287
2006-11-27 00:00:00+00:00,0.00559961
2006-11-28 00:00:00+00:00,-0.00403710
2006-11-29 00:00:00+00:00,-0.00594873
2006-11-30 00:00:00+00:00,-0.00787543
2006-12-01 00:00:00+00:00,-0.01367414
2006-12-04 00:00:00+00:00,-0.02530900
2006-12-05 00:00:00+00:00,-0.00021208
2006-12-06 00:00:00+00:00,0.00563483
2006-12-07 00:00:00+00:00,-0.00401055
2006-12-08 00:00:00+00:00,0.01932109
2006-12-11 00:00:00+00:00,-0.00204242
2006-12-12 00:00:00+00:00,-0.00021009
2006-12-13 00:00:00+00:00,-0.01346681
2006-12-14 00:00:00+00:00,-0.00135731
2006-12-15 00:00:00+00:00,0.00101577
2006-12-18 00:00:00+00:00,-0.00204524
2006-12-19 00:00:00+00:00,0.00554765
2006-12-20 00:00:00+00:00,-0.01741963
2006-12-21 00:00:00+00:00,-0.00599141
2006-12-22 00:00:00+00:00,-0.02726706
2006-12-26 00:00:00+00:00,-0.00609501
2006-12-27 00:00:00+00:00,-0.01202459
2006-12-28 00:00:00+00:00,-0.01997714
2006-12-29 00:00:00+00:00,0.00776942
2007-01-03 00:00:00+00:00,-0.00607726
2007-01-04 00:00:00+00:00,0.00384767
2007-01-05 00:00:00+00:00,-0.02791458
2007-01-08 00:00:00+00:00,0.00179996
2007-01-09 00:00:00+00:00,0.01182991
2007-01-10 00:00:00+00:00,-0.00608974
2007-01-11 00:00:00+00:00,-0.00021742
2007-01-12 00:00:00+00:00,0.02168762
2007-01-16 00:00:00+00:00,-0.01886274
2007-01-17 00:00:00+00:00,0.01271848
2007-01-18 00:00:00+00:00,0.00966349
2007-01-19 00:00:00+00:00,-0.00218644
2007-01-22 00:00:00+00:00,-0.01202810
2007-01-23 00:00:00+00:00,0.00176229
2007-01-24 00:00:00+00:00,-0.00606760
2007-01-25 00:00:00+00:00,0.02954369
2007-01-26 00:00:00+00:00,0.04470390
2007-01-29 00:00:00+00:00,-0.03647628
2007-01-30 00:00:00+00:00,-0.01188838
2007-01-31 00:00:00+00:00,-0.01391506
2007-02-01 00:00:00+00:00,-0.00415390
2007-02-02 00:00:00+00:00,-0.01199687
2007-02-05 00:00:00+00:00,-0.00021780
2007-02-06 00:00:00+00:00,0.03351087
2007-02-07 00:00:00+00:00,-0.01549439
2007-02-08 00:00:00+00:00,-0.01566051
2007-02-09 00:00:00+00:00,-0.01678573
2007-02-12 00:00:00+00:00,-0.00710732
2007-02-13 00:00:00+00:00,0.00175018
2007-02-14 00:00:00+00:00,-0.00021818
2007-02-15 00:00:00+00:00,-0.00407687
2007-02-16 00:00:00+00:00,0.00783641
2007-02-20 00:00:00+00:00,-0.00041404
2007-02-21 00:00:00+00:00,0.00271184
2007-02-22 00:00:00+00:00,-0.00021854
2007-02-23 00:00:00+00:00,-0.00111684
2007-02-26 00:00:00+00:00,0.00368840
2007-02-27 00:00:00+00:00,-0.00216564
2007-02-28 00:00:00+00:00,-0.00599854
2007-03-01 00:00:00+00:00,0.02130954
2007-03-02 00:00:00+00:00,0.01709122
2007-03-05 00:00:00+00:00,0.00739014
2007-03-06 00:00:00+00:00,0.02640145
2007-03-07 00:00:00+00:00,-0.00511934
2007-03-08 00:00:00+00:00,0.01427281
2007-03-09 00:00:00+00:00,-0.00798783
2007-03-12 00:00:00+00:00,0.00409443
2007-03-13 00:00:00+00:00,-0.00021227
2007-03-14 00:00:00+00:00,-0.00765574
2007-03-15 00:00:00+00:00,0.00824735
2007-03-16 00:00:00+00:00,-0.00303071
2007-03-19 00:00:00+00:00,0.01482616
2007-03-20 00:00:00+00:00,-0.00021172
2007-03-21 00:00:00+00:00,0.00919183
2007-03-22 00:00:00+00:00,-0.00261856
2007-03-23 00:00:00+00:00,-0.00317370
2007-03-26 00:00:00+00:00,-0.00410176
2007-03-27 00:00:00+00:00,0.00332097
2007-03-28 00:00:00+00:00,-0.00450234
2007-03-29 00:00:00+00:00,0.00053498
2007-03-30 00:00:00+00:00,-0.00674101
2007-04-02 00:00:00+00:00,-0.00750060
2007-04-03 00:00:00+00:00,-0.00133911
2007-04-04 00:00:00+00:00,0.00525970
2007-04-05 00:00:00+00:00,0.02886909
2007-04-09 00:00:00+00:00,0.00830133
2007-04-10 00:00:00+00:00,0.03289197
2007-04-11 00:00:00+00:00,-0.00380607
2007-04-12 00:00:00+00:00,0.01249927
2007-04-13 00:00:00+00:00,-0.00469609
2007-04-16 00:00:00+00:00,0.00429741
2007-04-17 00:00:00+00:00,0.00338359
2007-04-18 00:00:00+00:00,-0.00199879
2007-04-19 00:00:00+00:00,-0.00020641
2007-04-20 00:00:00+00:00,0.01061824
2007-04-23 00:00:00+00:00,-0.00020613
2007-04-24 00:00:00+00:00,0.01232107
2007-04-25 00:00:00+00:00,0.01218404
2007-04-26 00:00:00+00:00,0.02092249
2007-04-27 00:00:00+00:00,0.00674083
2007-04-30 00:00:00+00:00,0.00676544
2007-05-01 00:00:00+00:00,-0.00020105
2007-05-02 00:00:00+00:00,0.01710916
2007-05-03 00:00:00+00:00,0.02017247
2007-05-04 00:00:00+00:00,-0.00188039
2007-05-07 00:00:00+00:00,-0.00188523
2007-05-08 00:00:00+00:00,0.01000194
2007-05-09 00:00:00+00:00,0.01491850
2007-05-10 00:00:00+00:00,0.01641288
2007-05-11 00:00:00+00:00,0.00310277
2007-05-14 00:00:00+00:00,0.00151376
2007-05-15 00:00:00+00:00,-0.00348582
2007-05-16 00:00:00+00:00,-0.01167921
2007-05-17 00:00:00+00:00,-0.00186226
2007-05-18 00:00:00+00:00,0.00146958
2007-05-21 00:00:00+00:00,-0.00512293
2007-05-22 00:00:00+00:00,-0.01353222
2007-05-23 00:00:00+00:00,-0.00019889
2007-05-24 00:00:00+00:00,0.00657905
2007-05-25 00:00:00+00:00,0.00653417
2007-05-29 00:00:00+00:00,0.00152507
2007-05-30 00:00:00+00:00,0.03457171
2007-05-31 00:00:00+00:00,0.00142356
2007-06-01 00:00:00+00:00,0.02091000
2007-06-04 00:00:00+00:00,0.00619609
2007-06-05 00:00:00+00:00,-0.00019418
2007-06-06 00:00:00+00:00,0.00140155
2007-06-07 00:00:00+00:00,-0.00977846
2007-06-08 00:00:00+00:00,-0.01625778
2007-06-11 00:00:00+00:00,-0.00669650
2007-06-12 00:00:00+00:00,-0.01658571
2007-06-13 00:00:00+00:00,0.00310376
2007-06-14 00:00:00+00:00,-0.00348621
2007-06-15 00:00:00+00:00,0.00640028
2007-06-18 00:00:00+00:00,-0.00513088
2007-06-19 00:00:00+00:00,0.00984075
2007-06-20 00:00:00+00:00,0.00127744
2007-06-21 00:00:00+00:00,-0.00672867
2007-06-22 00:00:00+00:00,0.00316183
2007-06-25 00:00:00+00:00,-0.00012917
2007-06-26 00:00:00+00:00,-0.00341008
2007-06-27 00:00:00+00:00,-0.00012903
2007-06-28 00:00:00+00:00,-0.00506310
2007-06-29 00:00:00+00:00,-0.00381407
2007-07-02 00:00:00+00:00,-0.01135622
2007-07-03 00:00:00+00:00,-0.00185499
2007-07-05 00:00:00+00:00,-0.02003383
2007-07-06 00:00:00+00:00,-0.01030068
2007-07-09 00:00:00+00:00,0.01331326
2007-07-10 00:00:00+00:00,-0.00180000
2007-07-11 00:00:00+00:00,0.00314393
2007-07-12 00:00:00+00:00,0.00153278
2007-07-13 00:00:00+00:00,0.00647752
2007-07-16 00:00:00+00:00,0.01137014
2007-07-17 00:00:00+00:00,-0.00680094
2007-07-18 00:00:00+00:00,0.00476699
2007-07-19 00:00:00+00:00,0.02292981
2007-07-20 00:00:00+00:00,0.02107653
2007-07-23 00:00:00+00:00,-0.00667296
2007-07-24 00:00:00+00:00,-0.02309931
2007-07-25 00:00:00+00:00,0.00473434
2007-07-26 00:00:00+00:00,-0.01960905
2007-07-27 00:00:00+00:00,0.00526714
2007-07-30 00:00:00+00:00,0.00925442
2007-07-31 00:00:00+00:00,-0.00347844
2007-08-01 00:00:00+00:00,-0.00013194
2007-08-02 00:00:00+00:00,0.00315711
2007-08-03 00:00:00+00:00,-0.00513014
2007-08-06 00:00:00+00:00,-0.00365126
2007-08-07 00:00:00+00:00,-0.01519047
2007-08-08 00:00:00+00:00,0.00346241
2007-08-09 00:00:00+00:00,-0.03495476
2007-08-10 00:00:00+00:00,0.01501359
2007-08-13 00:00:00+00:00,-0.00856903
2007-08-14 00:00:00+00:00,-0.02039444
2007-08-15 00:00:00+00:00,-0.01378292
2007-08-16 00:00:00+00:00,-0.06010398
2007-08-17 00:00:00+00:00,0.00035870
2007-08-20 00:00:00+00:00,0.00444502
2007-08-21 00:00:00+00:00,0.00007609
2007-08-22 00:00:00+00:00,0.03159125
2007-08-23 00:00:00+00:00,0.03280916
2007-08-24 00:00:00+00:00,-0.00018458
2007-08-27 00:00:00+00:00,-0.00012083
2007-08-28 00:00:00+00:00,0.00492077
2007-08-29 00:00:00+00:00,0.00152474
2007-08-30 00:00:00+00:00,-0.01538791
2007-08-31 00:00:00+00:00,-0.00871020
2007-09-04 00:00:00+00:00,-0.00873448
2007-09-05 00:00:00+00:00,0.01591573
2007-09-06 00:00:00+00:00,-0.01260060
2007-09-07 00:00:00+00:00,-0.00361487
2007-09-10 00:00:00+00:00,-0.00183317
2007-09-11 00:00:00+00:00,-0.00880077
2007-09-12 00:00:00+00:00,-0.00707357
2007-09-13 00:00:00+00:00,-0.00531819
2007-09-14 00:00:00+00:00,-0.04365590
2007-09-17 00:00:00+00:00,-0.00018040
2007-09-18 00:00:00+00:00,0.03024895
2007-09-19 00:00:00+00:00,-0.01072222
2007-09-20 00:00:00+00:00,0.00511765
2007-09-21 00:00:00+00:00,-0.04250095
2007-09-24 00:00:00+00:00,-0.02175648
2007-09-25 00:00:00+00:00,-0.06951778
2007-09-26 00:00:00+00:00,0.01876626
2007-09-27 00:00:00+00:00,-0.00957425
2007-09-28 00:00:00+00:00,0.01477544
2007-10-01 00:00:00+00:00,0.01097209
2007-10-02 00:00:00+00:00,-0.00194518
2007-10-03 00:00:00+00:00,0.02383371
2007-10-04 00:00:00+00:00,-0.00742643
2007-10-05 00:00:00+00:00,-0.01926822
2007-10-08 00:00:00+00:00,-0.00663820
2007-10-09 00:00:00+00:00,-0.00018297
2007-10-10 00:00:00+00:00,-0.04439058
2007-10-11 00:00:00+00:00,-0.00018491
2007-10-12 00:00:00+00:00,0.01116472
2007-10-15 00:00:00+00:00,0.00727125
2007-10-16 00:00:00+00:00,0.01100454
2007-10-17 00:00:00+00:00,-0.02962918
2007-10-18 00:00:00+00:00,-0.00017825
2007-10-19 00:00:00+00:00,-0.02078003
2007-10-22 00:00:00+00:00,-0.00018241
2007-10-23 00:00:00+00:00,-0.00392554
2007-10-24 00:00:00+00:00,0.00181168
2007-10-25 00:00:00+00:00,-0.00018357
2007-10-26 00:00:00+00:00,0.00180173
2007-10-29 00:00:00+00:00,0.00744975
2007-10-30 00:00:00+00:00,0.00936289
2007-10-31 00:00:00+00:00,-0.00018187
2007-11-01 00:00:00+00:00,0.01117570
